id	Region	Country	Function	Scenario	Package	SubPackage	FTE	Month	Spend	FTE_travel	NR_Month	Total_Trips	Trips_14D	DomTrip_2D	UnitPrice	Trip_length
1	Eucan	Switzerland	Procurement	Budget	Travel	Airfare	110	2	33976.8	12	4916666.667	15.6			2178	
2	Eucan	Switzerland	Procurement	Actual 	Travel	Airfare	110	2	36163.4	14	4916666.667	18.2			1987	
3	Eucan	Switzerland	Procurement	Forecast	Travel	Airfare	110	11	29003	10	4916666.667	13			2231	
4	Eucan	Switzerland	Procurement	Budget	Travel	Lodging	110	2	4680	12	4916666.667	15.6			100	3
5	Eucan	Switzerland	Procurement	Actual 	Travel	Lodging	110	2	5132.4	14	4916666.667	18.2			94	3
6	Eucan	Switzerland	Procurement	Forecast	Travel	Lodging	110	11	3510	10	4916666.667	13			90	3
7	Eucan	Switzerland	Procurement	Budget	Travel	meals	110	2	3463.2	12	4916666.667	15.6			74	3
8	Eucan	Switzerland	Procurement	Actual 	Travel	meals	110	2	3494.4	14	4916666.667	18.2			64	3
9	Eucan	Switzerland	Procurement	Forecast	Travel	meals	110	11	3042	10	4916666.667	13			78	3
10	Eucan	Switzerland	Sales	Budget	Travel	Airfare	78	4	51296.7	21	4916666.667	27.3			1879	
11	Eucan	Switzerland	Sales	Actual 	Travel	Airfare	78	4	41249	19	4916666.667	24.7			1670	
12	Eucan	Switzerland	Sales	Forecast	Travel	Airfare	78	12	86361.6	24	4916666.667	31.2			2768	
13	Eucan	Switzerland	Sales	Budget	Travel	Lodging	78	4	6879.6	21	4916666.667	27.3			84	3
14	Eucan	Switzerland	Sales	Actual 	Travel	Lodging	78	4	5779.8	19	4916666.667	24.7			78	3
15	Eucan	Switzerland	Sales	Forecast	Travel	Lodging	78	12	6739.2	24	4916666.667	31.2			72	3
16	Eucan	Switzerland	Sales	Budget	Travel	meals	78	4	5896.8	21	4916666.667	27.3			72	3
17	Eucan	Switzerland	Sales	Actual 	Travel	meals	78	4	4446	19	4916666.667	24.7			60	3
18	Eucan	Switzerland	Sales	Forecast	Travel	meals	78	12	5990.4	24	4916666.667	31.2			64	3
19	Eucan	UK	HR	Budget	Travel	Airfare	38	6	24675.3	9	5500000	11.7			2109	
20	Eucan	UK	HR	Actual 	Travel	Airfare	38	6	21739.9	7	5500000	9.1			2389	
21	Eucan	UK	HR	Forecast	Travel	Airfare	38	11	20997.6	8	5500000	10.4			2019	
22	Eucan	UK	HR	Budget	Travel	Lodging	38	6	2316.6	9	5500000	11.7			66	3
23	Eucan	UK	HR	Actual 	Travel	Lodging	38	6	2074.8	7	5500000	9.1			76	3
24	Eucan	UK	HR	Forecast	Travel	Lodging	38	11	2308.8	8	5500000	10.4			74	3
25	Eucan	UK	HR	Budget	Travel	meals	38	6	1684.8	9	5500000	11.7			48	3
26	Eucan	UK	HR	Actual 	Travel	meals	38	6	1747.2	7	5500000	9.1			64	3
27	Eucan	UK	HR	Forecast	Travel	meals	38	11	1809.6	8	5500000	10.4			58	3
28	Eucan	UK	Sales	Budget	Travel	Airfare	56	9	41083.9	11	5500000	14.3			2873	
29	Eucan	UK	Sales	Actual 	Travel	Airfare	56	1	37783.2	14	5500000	18.2			2076	
30	Eucan	UK	Sales	Forecast	Travel	Airfare	56	9	26000	10	5500000	13			2000	
31	Eucan	UK	Sales	Budget	Travel	Lodging	56	9	3346.2	11	5500000	14.3			78	3
32	Eucan	UK	Sales	Actual 	Travel	Lodging	56	1	4586.4	14	5500000	18.2			84	3
33	Eucan	UK	Sales	Forecast	Travel	Lodging	56	9	3081	10	5500000	13			79	3
34	Eucan	UK	Sales	Budget	Travel	meals	56	9	2659.8	11	5500000	14.3			62	3
35	Eucan	UK	Sales	Actual 	Travel	meals	56	1	3166.8	14	5500000	18.2			58	3
36	Eucan	UK	Sales	Forecast	Travel	meals	56	9	2340	10	5500000	13			60	3
37	Eucan	France	Supply chain	Budget	Travel	Airfare	89	5	56828.2	22	6500000	28.6			1987	
